[China Eye]
! Version: 20180301
! The content of this list is generated from the following resources:
https://github.com/jasonqng/chinese-keywords/
https://github.com/citizenlab/chat-censorship/
https://docs.google.com/spreadsheets/d/1UTP9MU80r_N5WPhQ5-4AjM0ebW1eMxyDlRe_vaYy9IM/edit#gid=0

!-----------------------Sensitive Keywords-----------------------!
退出中共|Quit CPC
餐饮发票出售|Catering invoices sell
参政传奇|Politics legend
残暴|Brutal
残荡|Residual swing
残害|Injure
惨案|Massacre
惨绝人寰|Extremely tragic
仓央嘉措|Lama
沧澜曲|Lan Cang Song
藏+里|Tibet + years
藏獨|Tibetan separatist
藏传佛教|Tibetan Buddhism
藏独|Tibetan separatist
藏历新年|Tibetan New Year
藏民|Tibetans
藏区|Tibetan
藏区自焚|Tibetan self-immolation
藏人|Tibetan
藏人文化网|Tibetan Cultural Network
藏文|Tibetan
藏语|Tibetan language
藏字石|Hidden words stone
藏族|Tibetan
操逼|Operating force
操比|
操蛋|
操烂|Operating rotten
操烂骚货|Operating rotten tart
操你|Fuck you
操你妈|Fuck
操你吗|Fuck you do
操女人穴|Woman point operations
操死|
操他|He parade
操她|Fuck her
操我|Fuck me
操一下|Speak about
曹长青|Cao Changqing
曹刚川|Cao
曹建明|Cao Jianming
曹建明＋调查|
曹金陶|Cao Jin Tao
曹顺利|Caoshun Li
曹長青|Cao Changqing
草场地|Pasture land
草根|Grassroots
草榴|Grass pomegranate
草榴成人导航|
草榴社區|Grass pomegranate community
草泥马|Aplaca
草你妈|Grass your mother
草你娘|
策划中共|CCP planning
测试a|Test A
测试条目|Test entry
测试条目2|Test Item 2
插b|Plug B
插bb成人电影|
插爆|Plug explosion
插插|Plug plug
插姐姐嫩穴|Plug sister Nenxue
插进|Inserted
插进了小姨子|
插你|You plug
插死|Chasi
插他|He inserted
插她|She inserted
插我|I plugged
叉b|
查身份证|Check ID
拆 俯右街|Chaifuyoujie
拆 府右|House demolition Right
拆 府右街|Demolition Fuyoujie
拆 灵境胡同|Demolition Lingjinghutong
拆除＋十字架|Demolition + Cross
拆俯右街|Chaifuyoujie
拆府右街|Demolition Fuyoujie
拆玲|Demolition Ling
拆迁|Demolition
拆迁 俯右街|
拆迁 俯佑街|
拆迁 府右|House demolition Right
拆迁 灵境胡同|Demolition Lingjinghutong
拆迁俯右街|
拆迁府右|House demolition Right
拆迁府右街|Demolition Fuyoujie
拆迁府佑街|
拆迁群府右街|Demolition group Fuyoujie
拆散|Break up
柴玲|Chai Ling
柴零|Diesel Zero
铲除|Eradicate
常劲|
常景强|Chang Jingqiang
常萎|Often wilt
常委|Standing
常委＋财产|Standing + property
常委＋贪腐|Standing + corruption
常委扩大会|
常委与权斗|
长安街|Chang'an Avenue
长春+报道要求|
长春+禁令|Changchun + ban
长狗专卖|Long Dog Monopoly
长虹桥+警车|
长江|Yangtze
长老|Elder
长平|Long flat
长沙妹|Changsha sister
长萎|Long wilt
倡议|Initiative
超级大国2|Superpower 2
超级禽兽|Super beast
超人：钢铁之躯|Superman: Steel footer
超越红墙|Beyond Redwall
朝日格图|Asahi trellis
朝廷|Imperial court
朝鲜+兵变|
朝鲜+政变|
朝鲜版假钞买卖|
朝阳医院|Chaoyang Hospital
车祸 凌晨四点|
车祸 一男两女|
车祸+车震|#NAME?
车仑|
车仑大法|Car Lun Gong
车内泄欲|Car Xieyu
撤消|Cancel
臣坐民|Robinson sat China
尘诱2|Dust trap 2
陈g诚|Chen Cheng G
陈炳德|Chen Bingde
陈炳基|
陈独秀|Chen
陈刚|
陈光c|Chen C
陈光诚|Chen Guangcheng
陈光诚事件|
陈坚|
陈建刚|Chen Jiangang
陈军|
陈科云|Chen Keyun
陈克贵|Chen Kegui
陈奎德|Chen Kuide
陈良宇|Chen Liangyu
陈良宇到薄熙来|
陈良玉|Chen Liangyu
陈蒙|
陈破空|Chen Po Kong
陈瑞卿|
陈世炬|Chen Shiju
陈水扁|Chen Shui-bian
陈思思|Chen Sisi
陈西|
陈希同|Chen Xitong
陈希同亲述|Chen Xitong pro-state
陈小同|
陈小雅|Chen Xiaoya
陈宣良|
陈一文|Chen Yiwen
陈一谘|Chen consultation
陈一谘回忆录|Chen consultation memoir
陈用林|Chen Yonglin
陈元|Chen Yuan
陈至立|Chen Zhili
陈智敏|Essential Characteristic
陈子明|Chen Ziming
陈总统|
陈赓 拆迁|Chen Geng demolition
陈赓的房子|Chen Geng house
陈赓家|Chen Geng home
城管|Chased
城楼下传单飞扬|
成都px项目|
成都美领馆|
成克杰|Cheng
成人av|Adult AV
成人av网|Adult AV Network
成人av无码|Adult AV Uncensored
成人a片下载|
成人dvd|Adult DVD
成人qvod|Adult QVOD
成人av大片|Adult av large
成人av电影|Adult av movie
成人电视棒销售|
成人电影|Adult movies
成人电影网|Adult Movie Network
成人电影下载|Adult Movie Downloads
成人动画下载|Adult animation download
成人动漫bt|Adult anime BT
成人短片|Adult Movie
成人高清bt|Adult HD BT
成人高清电视棒|
成人黄站|Adult yellow station
成人激情|Adult passion
成人激情电影|Adult Movie Passion
成人激情小说|Adult passion novels
成人禁书|Adult banned
成人快播电影|Nora adult movies
成人聊天室|Adult chat rooms
成人伦理|Adult Ethics
成人论坛|Adult Forum
成人裸聊聊天室|
成人美女|Adult beauty
成人情色|Adult Erotic
成人色情网站|Adult porn sites
成人社区|Adult Community
成人视频下载|Adult video downloads
成人网|Adult Network
成人网站导航|Adult site navigation
成人无码dvd|Adult Uncensored DVD
成人无码区|Uncensored adult zone
成人五月天|Adult Mayday
成人午间影院|Adult Lunchtime Theatre
成人午夜场|Adult midnight
成人午夜影院|Adult Midnight Cinema
成人下载|Adult downloads
成人小游戏|Adult Games
成人影院|Adult Theater
成人游戏|Adult games
成人游戏下载|Adult game download
成人遊戲|Adult games
成思危|Cheng Siwei
程凯|
程铁军|
程文萨|Cheng Walesa
程翔|Ching
程映虹|Cheng Yinghong
程真|
澄清|Clarify
诚信办理文凭|Honesty handle Diploma
诚信办证电话|Honesty Rush phone
诚信汽狗专卖|
承受|Bear
承天门|Edward door
吃+少年|Eat + boy
吃+受害者|Eat + victims
吃喝嫖赌|Chihepiaodu
吃精|Swallowing
吃牢饭|Eat Laofan
吃人|Cannibalism
吃屎|Eat shit
痴匪|Crazy bandits
持不同政见|Dissident
持股交流|Exchange holdings
持枪＋离队|Gun + leave
迟浩田|Chi
尺度|Scale
赤匪|Red bandits
赤费|Red fees
赤共|Total red
赤化|Communist takeover
冲突|Conflict
宠霸美男|Pa handsome pet
抽插|Choucha
抽插呻吟|Choucha moan
丑闻|Scandal
出海登岛|Sea landing
出卖|
出气报仇|Outlet revenge
出售54枪qq|
出售k粉电话|
出售x卧底|Sell ??X Undercover
出售白牙签qq|
出售爆竹qq|
出售冰du|Sell ??ice du
出售步枪qq|Sell ??rifles qq
出售朝鲜冰qq|
出售车主名单|Owners sell list
出售车主名录|
出售车主信息|Sell ??owner information
出售车主资料|Sell ??owner information
出售车主资源|
出售纯冰qq|
出售打猎枪|Sell ??shotgun hit
出售大冰砖qq|
出售单管猎槍|
出售杜冷丁qq|
出售短狗qq|
出售法人通讯录|
出售仿真汽枪|
出售改号器|
出售高仿真枪支|
出售广告费发票|Sell ??advertising invoices
出售合成k粉|
出售化学冰qq|
出售假钞票qq|
出售金属枪模|
出售警用头盔|Sell ??police helmet
出售狙击枪qq|
出售居民身份证|
出售军刀qq|Saber sell QQ
出售军警用品|
出售军用弓弩|
出售开锁器|Sell ??Detacher
出售客户信息|Sell ??customer information
出售老板通讯录|
出售猎刀|
出售溜冰壶qq|
出售氯胺酮qq|
出售麻谷qq|
出售麻果qq|
出售马古|Sell ??horse ancient
出售气狗qq|
出售气枪qq|QQ sell airguns
出售枪支|
出售手狗qq|
出售手枪|Sale of handguns
出售水果冰|Sell ??fruit ice
出售水果冰qq|
出售秃鹰气枪|Vulture sell airguns
出售小果子qq|
出售摇头丸qq|Sell ??ecstasy qq
出售业主名单|Sale Owner List
出售业主资料|Sale Owner Information
出售真枪|Sell ??genuine
出售植物冰qq|
出售专业警枪|
出售专业手铐|Sell ??professional handcuffs
出售阻击枪|Sell ??blocking gun
出售匕首qq|Sell ??dagger qq
出台|Introduction
出台小姐|Miss introduction
出狱|Leave prison
出租|Rent
出租车+长安街|
出租车+窗|Taxi + window
出租车+填表|Taxi + filling
除习|
楚布寺|Monastery
储波|Chu Bo
储君|Crown prince
处女|Virgin
处女高清晰|Virgin High Definition
处女膜|Hymen
穿墙软件|Wall software
传单|Leaflet
传法之路|Road transfer method
传奇外传私服|PW legendary rumor
传销|MLM
传真|Fax
床上诱惑|Temptation bed
创始人|Founder
创优科技|Excellence Technology
吹蕭|
吹萧|Chuixiao
吹箫|Chuixiao
春光辉荒野|Spring glorious wilderness
春熙路麦当劳|
春夏之交|Spring and summer
春夏自由论坛|
春泄绣榻|Spring vent Xiuta
春药|Aphrodisiac
刺激养眼图片|Stimulate seductive pictures
从学潮到动乱|
篡党|Usurp Party
崔卫平|Cui Weiping
催泪弹|Tear bomb
催情粉|Aphrodisiac powder
达尔罕活佛|Darhan Buddha
达赖|Dalai Lama
达赖集团|Dalai clique
达赖喇嘛|Dalai Lama
达兰萨拉|Dharamsala
答案|Answer
打倒|Down
打倒共党|
打倒中国共产党|
打到共产党|
打飞机|Aircraft
打黑书记|Hitting secretary
打炮|Shelling
打温挺薄|Dawentingbao
打砸|Thwarted
打砸抢|Vandalism
打砸抢烧|Vandalism burning
打砸烧|Thwarted by burning
大b|
大逼|
大比|
大冰磚销售qq|
大参考|Large reference
大藏寺|Big Zang
大丑风流记|
大法|Dafa
大法師|Grand Master
大法官|Justice
大法螺|Dafa Lo
大法真相|Dafa truth
大盖帽|
大规模|Large-scale
大亨|Tycoon
大恒|Daheng
大红龙|Red Dragon
大红龙 福音|Red dragon Gospel
大红门|Dahongmen
大花逼|
大话精|Westward fine
大活|Large living
大紀元時報|The Epoch Times
大鸡巴|
大鸡巴小穴|Big dick pussy
大纪元时报|The Epoch Times
大纪元新闻网|
大纪园|
大家论坛|
大奖天天送|Awards day delivery
大老虎＋出事|Tigers + accident
大力王|Great king
大连|Dalian
大陆|Continent
大陆当局|Chinese authorities
大陆封锁|Continental blockade
大陆民运|Continental pro
大陆茉莉花革命|Continental Jasmine Revolution
大麻|Marijuana
大庆阅兵|Daqing parade
大蓋帽|
大赦國際|Amnesty International
大赦国际|Amnesty International
大史|
大史记|
大史纪|
大寿|Birthday
大屠殺列表|Holocaust List
大屠杀列表|Holocaust List
大腿的缝里|
大腿的缝隙|
大腿缝里|
大腿缝隙|
大腿肉|Thigh meat
大小洞天|Daxiaodongtian
大校|Colonel
大学吧|University of bar
大学生|University student
大学生闹事|Students' trouble
大预言|Predictions
大跃进|Great Leap Forward
大昭寺|Jokhang
大中国论坛|
大中华论坛|Greater China Forum
大众真人真事|
大专文凭qq|Diploma QQ
大陸當局|Chinese authorities
大雞巴|
呆婊|Stay prostitute
戴秉国|
戴季陶|Inquiry Into
戴坚|
戴梦得|Diamend
戴晴|DAI
戴莎莎|Dai Shasha
戴社长|Dai president
戴维·格娄斯|
戴相龙|Dai Xianglong
戴自更|Dai from more
带路党|
代办大本文凭|Big agency diploma
代办假学历|Agent fake degree
代办假学历qq|
代办文凭qq|QQ agency diploma
代办武警驾驶证|
代办醱票|Ticket agent fermentation
代开建筑发票|
代开增值税醱票|
代开正规發票|
代考网|
代理|Proxy
代理朝鲜假币|Acting Korea counterfeit
代理假币|Agents counterfeit money
代理假发票|Agents false invoices
代理假发票qq|
代理台湾假币|
代理增值税发票|Agents VAT invoice
代删负面贴子|
代写论文|Write papers
代做发票|Doing some invoices
代開發嘌|
代開销售發嘌|
逮捕|Arrest
逮捕＋大老虎|#NAME?
耽美小说下载|Download slash fiction
丹增嘉措|Tenzin Gyatso
单增德|Monocytogenes Germany
弹劾|
当代八乱|Contemporary eight chaos
当局|Authorities
挡坦克|
党产共|Of party assets
党的领导|Party leadership
党棍|Party boss
党国|State party
党禁|Party ban
党魁|Leader
党凌驾于司法|
党媒|Party media
党内斗争|Inner-party struggle
党内民主|Democratic Party
党委书记|Party secretary
党员|Party member
党政|Party
荡妇|
刀＋新疆|Knife + Xinjiang
刀具交易网|Tool trading network
倒薄事件|
倒计时|Countdown
倒台|Downfall
祷告|Prayer
到了电话联系|To the phone
到市政府请愿|
悼念|Tribute
道法会元|Road Puja yuan
德国之声|Deutsche Welle
德国之声中文网|
德江|Dejiang
德江 sars|Dejiang SARS
德江 动车 埋|EMU buried Dejiang
德江 江主席|
德江 南都案|Southern Dejiang case
德江 孙志刚|
德江 下令 埋|Dejiang ordered buried
德江723埋|723 buried Dejiang
德江督浙|
德哇仓|Germany wow positions
得奖|Winners
登辉|
登基|Throne
邓 小 平|
邓矮子|Deng dwarf
邓斌|Deng Bin
邓不群|Deng not group
邓飞黄|
邓家贵|Dengjia Gui
邓立群|Deng Liqun
邓力群|Deng Liqun
邓朴方|Deng
邓屠夫|Deng butcher
邓小平|Deng Xiaoping
邓小平拍板戒严|Deng closed curfew
邓小平下令镇压|
邓小平政治遗嘱|
邓笑贫|
邓颖超|Yingchao
邓征|Deng Zheng
邓正来|Deng '
邓质方|Deng Zhifang
邓卓棣|Deng Zhuodi
邓卓棣+红三代|
邓卓棣+美国|
邓卓棣+性骚扰|
低俗屠夫|Vulgar butcher
滴蜡|Candle Wax
迪里夏提|
翟伟民|Zhai Weimin
抵制|Boycott
抵制px|PX boycott
抵制奥运|Boycott
抵制日货|Boycott
底裤|
底褲|
地产党|Property Party
地方党委|Local party committees
地方召会|Local church
地牢围攻|Dungeon Siege
地下赌庄|Zhuang underground gambling
地下教会|
地下刊物|
地震|Earthquake
第38军|38th Army
第二季|
第二十三条|Article 23
第三看守所|Third Detention Center
第四代|
第一次操表姐|
第一夫人|First lady
第一夫人+苹果|
第一夫人+手机|
第一夫人+同款|
第一书记|First secretary
帝都|Royal Park
帝都 实行宵禁|Royal Park curfew
帝国+分裂|Empire + split
帝遣六军征南朝|
弟弟睡了|Brother slept
弟疼|
弟痛|
弟子|Disciple
颠覆|Subversion
颠覆国家政权|
碘化汞供应|Mercuric iodide supply
点击进入下一张|
电车之狼|Wolf tram
电池厂|Battery Factory
电购数据|Power purchase data
电话|Phone
电警棍厂家直销|
电警棍出售qq|
电警棍专卖|Electric batons Monopoly
电力＋老虎|Tiger Power +
电聊|Electric chat
电视流氓|
电婊|Electric prostitute
叼|Diao
刁哥|Diao brother
刁明泽|Diao Mingze
刁远平|Diaoyuan Ping
刁主席|Diao Chairman
刁总|Diao total
钓鱼岛|Diaoyu Islands
钓鱼台|Diaoyu Islands
调查|Survey
调教|Tuning
调入|Call in
叠氮化钠|Sodium azide
丁丁在西藏|Tintin in Tibet
丁关根|Ding
丁家班|Ding Ban
丁家喜|Dingjia Xi
丁家喜＋法院|
丁家喜＋旁听|
丁家喜＋赵常青|
丁磊|Ding
丁书苗|Ding Miao book
丁先皇|Ding Xianhuang
丁香成人社区|Ding Xiangcheng communities
丁香成人网|
丁香花成人网站|Lilac adult sites
丁香社区|Clove Community
丁向阳|Ding Xiangyang
丁小平|Ding Xiaoping
丁元|
丁子霖|Ding Zilin
定性|Qualitative
定于|Scheduled
订做人皮面具|
东北独立|
东长安街|East Chang'an Avenue
东方红时空|DFH temporal
东方闪电|Eastern Lightning
东方时空|
东风传奇|Dongfeng legend
东红门胡同|
东京热|Tokyo Hot
东京热合集|Tokyo Hot Collection
东京热视频|Tokyo Hot Video
东京热视频下载|
东京无码下载|Tokyo Uncensored Download
东南西北论谈|
东森电视|Eastern Broadcasting
东森新闻网|Eastern Broadcasting Network
东社|
东师古|Ancient Eastern Division
东尸骨村|East Village bones
东突|East Turkistan
东突厥斯坦|East Turkestan
东土耳其斯坦|
东西南北论坛|
东莞桑拿岛|Dongguan Sauna Island
董光峰|Dongguang Feng
董建华|Tung
动|Move
动乱|Turmoil
动漫a片|
动态|
动态网|Dynamic Network
动网通|Move Netcom
动员令|Mobilization order
冻尸骨村|Frozen bones Village
斗士|Gladiator
毒龙|Duron
毒品|Drug
毒杀|Poisoning
独裁|Dictatorship
独裁政治|
独夫|
独立|Independent
独立台湾会|
独立西藏|Independent Tibet
独立中文笔会|Independent Chinese PEN
读懂中国|Read Chinese
堵路|Dulu
杜崇烟|Du Chong smoke
杜导正|Du Daozheng
杜德印|Dodd India
杜东旭|Du Dongxu
杜冷丁|Pethidine
杜宪|Du Gazette
杜兆勇|Du Zhaoyong
杜智富|
度母广场 焚烧|Tara Place incineration
端启宪|End Kai Gazette
端午|Dragon Boat Festival
短狗狗粮qq|
短信群发|Short Message
段桂青|Duan Gui Qing
段宏炳|Duan Bing
段伟红|Duan Weihong
段先念|
段义和|Duan Yihe
断网|Off network
对付|Cope
对华援助协会|China Aid Association
对峙|Confrontation
对准桃源洞口|Alignment Taoyuan hole
多p|Multi-P
多p视频|Multi-P video
多党|
多党竞争|Multi-party competition
多杰羌佛|Dorje Chang Buddha
多維|Multidimensional
多人乱交|Multiplayer promiscuity
多人群交|Multi Threesome
多维|Multidimensional
多维标度|Multidimensional scaling
多维尺度|Multidimensional Scaling
多维尔|Deauville
多维新闻网|Multidimensional News
多黨|
夺权|Seize power
俄国|
俄羅斯|Russia
俄羅斯聯邦國徽|
俄罗斯|Russia
额色库汗|
恶党|Evil party
恶搞|Jokes
恶警|Guards
儿童节过后三天|
儿童节三天后|
儿童节之后三天|
尔康|Kang
二b|Two B
二\敏感词|
二逼|
二奶|Mistress
二男一马|
二女一杯|Two female cup
二女一碗|Two daughters bowl
二女一指|
二七路百货大楼|
二十二年前|22 years ago
二十三|Twenty-three
二十四|Twenty-four
二十四人通缉令|Twenty-four arrest warrants
二十四周年|Twenty-four anniversary
二十五年|Twenty-five years
二月逆流|February countercurrent
贰拾壹|Twenty One
发奖处|Awards at
发课|
发廊妹|Salon girl
发廊女|Fa Langnv
发廊小姐|Miss salon
发抡|
发抡功|
发轮|Fat round
发伦|
发伦功|
发沦|
发论|
发论功|
发论公|
发票qq|Invoice qq
发票代办|Invoice agency
发票代售|Invoice consignment
发票买卖|Invoice trading
发骚|
发图不说话|
发正念|
发愣|
法 轮|
法 论 功|Falun Gong
法*功|
法~轮~大~法|
法倫|Fallon
法淪|
法功|
法广|France Wide
法会|
法拉利|Ferrari
法拉利 保福寺|Ferrari Paul Temple
法拉利 北四环|
法拉利 车祸|Ferrari car accident
法拉利 三环|Ferrari tricyclic
法拉利 死亡|Ferrari's death
法拉利 撞桥|
法拉利撞墙解体|Ferrari wall disintegration
法律援助|Legal Aid
法抡|
法抡功|
法轮|Falun
法轮大法好|
法轮弟子|Falun disciple
法轮正法|Falun Dhamma
法伦|
法仑|
法沦|
法论|
法十轮|
法十轮十功|
法学教授袁红冰|
法論|
法制|Legal system
法治|Rule of Law
法谪|
法谪功|
法輪|Falun
法醤轮|Law soy round
法愣|
番号不明部队|Designations unknown forces
翻牆|Over the wall
翻墙|Over the wall
樊奇杭|Fan Qi Hang
反党|Anti-Party
反对奥运|Olympic opposition
反对票|Against
反封锁|
反封锁技术|
反腐败论坛|
反腐網|Anti-corruption network
反腐网|Anti-corruption network
反革命罪|Counter-revolutionary crimes
反攻|
反攻大陆|Retake the mainland
反共|Anticommunist
反共主义|Anti-communism
反官倒|Anti-profiteering
反黑申诉联盟|Triad complaint Union
反华势力|China forces
反人类|Antihuman
反日|Anti-Japan
反社会|
反黨|Anti-Party
范承秀|Fan Chengxiu
范继跃|Fan Jiyue
范围教会|
范徐丽泰|Rita Fan
范亚峰|Fan Yafeng
范燕琼|Fan Yanqiong
范悦+包养|
范珍致|Fan Zhen cause
泛蓝联盟|Pan-Blue Alliance
泛民四子|Pan-China four sons
泛藍聯盟|Pan-Blue Alliance
方|Square
方lizhi|Fang lizhi
方勵之|Fang Lizhi
方圓|Radius
方便面+下架|
方便面＋被捕|
方便面＋被抓|
方便面＋出事|
方便面＋双规|
方便面＋下台|
方便面＋抓|
方滨兴|Bin-Xing Fang
方觉|Fang Jue
方励之|Fang Lizhi
方寿伟|Fangshou Wei
方校长|Fang Jiaochang
方圆|Radius
方政|Fang Zheng
方舟子|Fang
方舟子 抹黑习|Fang Xi discredit
房山+死亡|Fangshan + Death
防爆枪|Explosion gun
防和谐器|Anti harmonious unit
防和谐器 软体|
防火长城|Great Firewall
防身刀具专卖|Self-defense tool Monopoly
仿真金属枪专卖|
仿真气枪专卖店|Simulation Airsoft stores
仿真枪改装|Imitation guns modified
访民|Petitioners
放荡中的灵与肉|
放片|Release tablets
放纵|Indulgence
非暴力|Nonviolence
非暴力不合作|Civil disobedience
非常 6+1|6 +1
非常6+1|6 +1
非常6十1|
非典|SARS
非法|Illegal
非法献花|Illegal flowers
非京籍＋抗议|
非正常死亡|Unnatural deaths
飞扬论坛|
肥b|Fertilizer B
肥美白嫩|Plump soft white
肥美雪白|Plump white
肥貓大戰三小強|
匪党|Gangs
匪共|Total bandit
费良勇|
费孝通|Fei Xiaotong
分家在|
分裂|Split
分散撤离|Dispersed evacuation
粉饰太平|
愤青|Fenqing
丰碑|Monument
封從德|Letters from Germany
封闭车窗|Closed window
封从德|Letters from Germany
封杀|Ban
封锁|Blockade
封校|Feng Xiao
风波|Crisis
风尘劫|Dust robbery
风流教皇|Merry Pope
风流艳帝|Merry Yan Emperor
风流艳世录|
风流英雄猎艳记|
风骚|Coquettish
风骚侍女|Coquettish maid
风雨神州|
风雨神州论坛|
风月大陆|Continental brothels
疯狂|Madness
冯东海|
冯素英|
冯正虎|Mr Feng
冯珏|
佛展千|
佛展千手法|
夫妇乐园|Couple Paradise
夫妻共插|Couples were inserted
服务器维护日|Server Maintenance Day
福佳|Fu Jia
福清纪委爆炸案|Fuqing Discipline bombings
福音大会|Gospel Assembly
福右街|Fu Right Street
俯右街 拆|Fuyoujiechai
俯右街 拆迁|
俯右街拆|Fuyoujiechai
俯右街拆迁|
府右 拆|Right House demolition
府右 拆迁|Right House demolition
府右拆迁|Right House demolition
府右街|Fuyoujie
府右街  拆迁|Fuyoujie demolition
府右街  强拆|Fuyoujie demolitions
府右街 安置|Fuyoujie placement
府右街 补偿款|Fuyoujie compensation
府右街 拆|Fuyoujie demolition
府右街 拆迁|Fuyoujie demolition
府右街 钉子户|Fuyoujie householders
府右街 领导人|Fuyoujie leaders
府右街 南长街|Fuyoujie South Street
府右街 强拆|Fuyoujie demolitions
府右街拆|Fuyoujie demolition
府右街拆迁|Fuyoujie demolition
府右街拆迁群|Fuyoujie demolition group
府右街郭晶晶|Fuyoujie Guo Jingjing
府右街强拆|Fuyoujie demolitions
府佑街|Fu Yu Street
府佑街 拆迁|
府佑街拆迁|
腐敗|
腐败|Corruption
副司长+包养|
副主席|Vice-chairman
复原军人|Demobilized soldiers
复员军人|Demobilization
复转军人|Ex-servicemen
傅部|FU Department
傅国涌|Fu Kuo Chung
傅某|Fumou
傅锐|Fu Rui
傅申奇|
傅希秋|Bob Fu
傅彦|Fu Yan
傅洋|Fu Yang
傅正华|Fu Zhenghua
傅正華|Fu Zhenghua
傅政华|FuZhengHua
傅政華|FuZhengHua
傅志寰|
傅怡彬|Fu Yibin
付部|Ministry to pay
付申奇|
负面信息删除|Negative information deleted
富妹|Fu-mei
富女|Rich women
富婆|Fupo
富婆俱乐部|Rich Wives Club
讣告|Obituaries
妇联|Federation
噶倫赤巴|Kalon Tripa
噶当派|Kadampa
噶举派|Kagyu
该关就关|The shut off
改朝|Change towards
改革|Reform
改革歷程|Reform process
改革历程|Reform process
改革派|Reformers
改号器qq|
改号软件出售|
干你|
干你老母|Dry your mother
干你妈|Dry your mother
干你娘|Dry your mother
干你全家|Dry your family
干扰器出售qq|Jammer sell qq
干死你|
干他|
干她|
甘丹寺|Ganden
甘孜|Ganzi
肝癌|Hepatic carcinoma
感言|Testimonials
钢珠弹求购|Steel ball Buy
钢珠弹专卖qq|
钢珠狗|Ball Dogs
钢珠枪买卖|Ball gun trading
钢珠子弹|Ball Bullet
肛胶|
肛交|Anal
肛门|Anus
肛門|
港共|Port of
港媒预测|
港人＋上街|
港支联会|Port Stake
港支联通讯|
高幹|
高幹子弟|
高幹子女|
高层+内斗|Senior + infighting
高层+内讧|Senior + infighting
高层权力之争|High-level power struggle
高层人事变动|
高潮|Climax
高仿毕业证|High imitation diploma
高仿假鈔銷售|
高仿真面具出售|
高干|
高干子弟|Among the children
高干子弟名单|
高干子女|
高官|
高官+留学子女|
高官互调|Officials intermodulation
高官挥霍公款|
高官子女|
高官子女+回国|
高景云|High King Wan
高考时间|
高念书|
高勤荣|GAO Qin Rong
高清av|HD AV
高清裸聊现场|
高清私拍|Private shoot HD
高树三姐妹|
高速+车震|
高文谦|High Wenqian
高晓兵|High Xiaobing
高薪养廉|
高行健|Gao Xingjian
高压气枪专卖网|
高瞻|
高志晟|Gao Zhisheng
高智成|Gao Zhicheng
高智晟|Gao Zhisheng
高智晟 艾未未|
高自联|High self-Union
高瑛|Gao Ying
高瑜|Gao Yu
膏药旗|Plaster flag
告会众书|Congregation book report
告全体网民书|
告同胞書全文|
告同胞书|Report Compatriots
哥疼|
哥痛|
歌功颂德|
戈扬|
鸽派|
革命|Revolution
葛兰素史克|GlaxoSmithKline
格鲁派|Gelug
蛤蛤|Clam clams
蛤丝|Clams wire
蛤主席|Chairman clams
蛤蟆|Toad
蛤蟆＋病危|Dying frog +
蛤蟆＋死|Toad + dead
蛤蟆精|Toad
个人崇拜|
各地举行|Held throughout
各界人士|
各盟旗首府|
更登確吉尼瑪|
筆會|PEN
工号1001|Workers 1001
工力|
工人党|Workers' party
工运|Labor movement
工自联|Workers' Alliance
工作人员|Staff
工作员|Worker
攻台|Attack on Taiwan
功法|
供應假人民幣|
供应k粉qq|
供应tnt|Supply TNT
供应冰毒qq|
供应步枪qq|Supply rifle qq
供应车主名单|Supply owners list
供应车主名录|Supply owners directory
供应车主资料|Supply owner information
供应车主资源|Supply owners Resources
供应刺刀m9|Supply M9 bayonet
供应大麻|Supply of Marijuana
供应大麻qq|
供应大轩砖qq|
供应杜冷丁|Supply pethidine
供应法人通讯录|
供应仿真枪|
供应改号软件|
供应钢珠枪|Supply ball gun
供应股民数据|Investors supply data
供应老板通讯录|Supply boss contacts
供应雷管qq|Supply detonator QQ
供应猎枪qq|Supply shotgun qq
供应麻古qq|
供应气枪qq|
供应氰化钠|
供应氰化钠qq|
供应肾qq|Supply kidney qq
供应世界名刀|Supply World Mito
供应手枪qq|Revolvers qq
供应业主名单|Supply Owner List
供应银行卡|
公安|Public security
公产党|Male Party
公告|Announcement
公共知识分子|Public intellectuals
公交|Bus
公交车+窗|Buses + window
公开信|Open Letter
公款|
公盟|OCI
公民＋运动|Citizens Movement +
公民力量|Civil Force
公民联盟|Citizens Alliance
公民权利|Civil Rights
公民社会|Civil Society
公民自由|Civil Liberties
公司|The company
公诉|
公务员|Civil
公务员替考|Civil teicoplanin
公误员|
公园|Park
公园北街＋乌市|
公主坟|Gongzhufen
公子党|
公開信|Open Letter
宫沢静香|Shizuka Miyazawa
弓弩的制作方法|Crossbow production methods
弓弩麻醉针|Crossbow anesthetic
共c档|Total C file
共産黨|Communist party
共残党|
共残党?|Total residual party?
共惨党|Total miserable party
共铲党|Total shovel Party
共产|Communist
共产党|Communist party
共产党＋腐败|Communist + corruption
共产党必亡|Communist perish
共产党丑闻|Communist Party scandal
共产党纪元|Communist era
共产党禁闻|
共产党灭亡|
共产党新唐人|Communist Party NTDTV
共产主义|Communism
共党|Communists
共党垮台|Communist collapse
共匪|Bandits
共狗|Total Dog
共军|Army
共妻|Total Wife
共青团中央|
共贪党|Party of greed
共唐柏桥|Total Tang Baiqiao
共同声明|Joint Statement
共贼|Total thief
共黨|Communists
狗b|
狗操|
狗卵子|
狗娘|
